School,2022,2019,Change,Town,Population,Is Rural
Eura Brown Elementary School,100,99,,Gadsden,33769,
Forest Avenue Elementary School,100,98,,Fort Payne,14834,
Crestline Elementary School,100,100,,Mountain Brook,22158,
Liberty Park Elementary,100,99,,Vestavia Hills,38801,
Heritage Elementary School,99,99,,Madison,58357,
Loveless Academic Magnet Program High School,99,100,,Montgomery,198665,
Brookwood Forest Elementary School,99,100,,Birmingham,197575,
Mountain Brook Elementary School,99,99,,Mountain Brook,22158,
Mt Laurel Elementary School,99,99,,Birmingham,197575,
East Elementary,99,100,,Cullman,18635,
Dean Road Elementary School,98,98,,Auburn,78564,
Wrights Mill Road Elementary School,98,98,,Auburn,78564,
Kilby Laboratory School,98,,,Florence,39933,
Edgewood Elementary School,98,96,,Birmingham,197575,
Deer Valley Elementary School,98,99,,Birmingham,197575,
Greystone Elementary School,98,99,,Birmingham,197575,
Mill Creek Elementary School,98,99,,Madison,58357,
Eichold-Mertz School of Math and Science,98,100,,Mobile,184952,
Cherokee Bend Elementary School,98,100,,Birmingham,197575,
Oak Mountain Elementary School,98,94,,Birmingham,197575,
Cahaba Elementary School,98,99,,Trussville,26388,
Tuscaloosa Magnet School - Elementary,98,100,,Tuscaloosa,100618,
Pizitz Middle School,98,98,,Vestavia Hills,38801,
West Elementary,98,99,,Cullman,18635,
Arab Elementary School,97,94,,Arab,8498,
Arab Primary School,97,94,,Arab,8498,
Pick Elementary School,97,94,,Auburn,78564,
Barkley Bridge Elementary School,97,98,,Hartselle,15549,
Bluff Park Elementary School,97,97,,Hoover,92589,
Brock's Gap Intermediate School,97,97,,Hoover,92589,
Jefferson County International Baccalaureate School,97,100,,Birmingham,197575,
Horizon Elementary School,97,97,,Madison,58357,
Mountain Brook High School,97,98,,Mountain Brook,22158,
Mountain Brook Junior High School,97,98,,Birmingham,197575,
Saraland Early Education Center,97,96,,Saraland,16319,
Saraland Elementary School,97,96,,Saraland,16319,
Magnolia Elementary School,97,96,,Trussville,26388,
Paine Elementary School,97,93,,Trussville,26388,
Vestavia Hills Elementary Dolly Ridge,97,,,Vestavia Hills,38801,
Cary Woods Elementary School,96,94,,Auburn,78564,
Riverchase Elementary School,96,95,,Hoover,92589,
South Shades Crest Elementary School,96,97,,Hoover,92589,
Monte Sano Elementary School,96,99,,Huntsville,216963,
Madison Elementary School,96,96,,Madison,58357,
Old Shell Road Magnet School,96,100,,Mobile,184952,
Inverness Elementary School,96,88,,Birmingham,197575,
Oak Mountain Intermediate School,96,96,,Birmingham,197575,
Vestavia Hills High School Freshman Campus,96,,,Vestavia Hills,38801,
Meadow View  Elementary School,95,86,,Alabaster,33676,
Auburn Early Education Center,95,96,,Auburn,78564,
Creekside Elementary School,95,95,,Harvest,,
Ogletree Elementary School,95,97,,Auburn,78564,
Richland Elementary School,95,95,,Auburn,78564,
Fairhope East Elementary,95,92,,Fairhope,23147,
Leon Sheffield Magnet Elementary School,95,96,,Decatur,57804,
"Carver School of Mathematics, Science, and Technology",95,99,,Dothan,71175,
Shades Mountain Elementary School,95,92,,Hoover,92589,
Goldsmith-Schiffman Elementary,95,89,,Owens Cross Roads,2635,
New Century Technology High School,95,98,,Huntsville,216963,
Columbia Elementary School,95,98,,Madison,58357,
Riverton Elementary School,95,98,,Huntsville,216963,
W H Council Traditional School,95,100,,Mobile,184952,
Rock Quarry Elementary School,95,100,,Tuscaloosa,100618,
Liberty Park Middle School,95,99,,Vestavia Hills,38801,
Vestavia Hills Elementary Cahaba Heights,95,96,,Vestavia Hills,38801,
Vestavia Hills High School,95,97,,Vestavia Hills,38801,
Margaret Yarbrough Elementary School,94,96,,Auburn,78564,
Fairhope West Elementary,94,99,,Fairhope,23147,
Rockwell Elementary School,94,96,,Spanish Fort,10392,
Spanish Fort Elementary School,94,96,,Spanish Fort,10392,
East Elementary School,94,92,,Cullman,18635,
Benjamin Davis Elementary School,94,95,,Decatur,57804,
Holly Hill Elementary School,94,94,,Enterprise,29395,
Shades Cahaba Elementary School,94,97,,Homewood,26054,
Wicksburg Elementary School,94,,,Newton,1607,
Hampton Cove Elementary,94,99,,Owens Cross Roads,2635,
Memorial Park Elementary School,94,91,,Jasper,14354,
Vernon Elementary School,94,89,,Vernon,1874,
MidTown Elementary School,94,98,,Madison,58357,
Rainbow Elementary School,94,98,,Madison,58357,
Monrovia Elementary School,94,93,,Huntsville,216963,
Mt Carmel Elementary School,94,96,,Huntsville,216963,
Barton Academy For Advanced World Studies,94,,,Mobile,184952,
Dauphin Island Elementary School,94,88,,Dauphin Island,1814,
Bear Exploration Center,94,96,,Montgomery,198665,
Brewbaker Technology Magnet High School,94,96,,Montgomery,198665,
Opp Elementary School,94,91,,Opp,6653,
Tuscaloosa Magnet School - Middle,94,98,,Tuscaloosa,100618,
Ariton School,93,95,,Ariton,655,
George W Long High School,93,95,,Skipperville,,
John S Jones Elementary School,93,96,,Rainbow City,10154,
Hall Kent Elementary School,93,94,,Birmingham,197575,
Homewood High School,93,93,,Homewood,26054,
Robert F Bumpus Middle School,93,97,,Hoover,92589,
Rocky Ridge Elementary School,93,92,,Birmingham,197575,
Skyline High School,93,95,,Scottsboro,15640,
Dawes Intermediate School,93,97,,Mobile,184952,
Phillips Preparatory Middle School,93,97,,Mobile,184952,
Lakewood Primary School,93,97,,Phenix City,38428,
Fayetteville High School,93,92,,Sylacauga,12373,
Hewitt-Trussville High School,93,95,,Trussville,26388,
Huntington Place Elementary School,93,90,,Northport,31009,
Creek View Elementary School,92,90,,Maylene,,
Athens Renaissance School,92,80,,Athens,27027,
Belforest Elementary School,92,,,Daphne,28777,
Daphne East Elementary School,92,96,,Daphne,28777,
Pleasant Valley Elementary School,92,95,,Jacksonville,13057,
Cleburne County Elementary School,92,96,,Heflin,3400,
Cullman Middle School,92,97,,Cullman,18635,
Newton Elementary School,92,92,,Newton,1607,
Eastwood Elementary School,92,92,,Decatur,57804,
Walter Jackson Elementary School,92,92,,Decatur,57804,
Brookwood Elementary School,92,90,,Brookwood,2473,
Forest Hills School,92,96,,Florence,39933,
Green Valley Elementary School,92,88,,Hoover,92589,
Gwin Elementary School,92,88,,Hoover,92589,
Trace Crossings Elementary School,92,92,,Birmingham,197575,
Rehobeth Elementary School,92,96,,Dothan,71175,
T R Simmons Elementary School,92,90,,Jasper,14354,
Discovery Middle School,92,96,,Madison,58357,
Legacy Elementary School,92,88,,Madison,58357,
Moores Mill Intermediate School,92,94,,New Market,,
Guin Elementary School,92,99,,Guin,2172,
Hutchens Elementary School,92,97,,Mobile,184952,
Baldwin Art And Academics Magnet,92,98,,Montgomery,198665,
MacMillan International at McKee,92,96,,Montgomery,198665,
Priceville Elementary School,92,93,,Decatur,57804,
Highland Park Elementary School,92,90,,Muscle Shoals,16618,
Howell Graves Preschool,92,89,,Muscle Shoals,16618,
McBride Elementary School,92,89,,Muscle Shoals,16618,
Webster Elementary School,92,89,,Muscle Shoals,16618,
Coosa Valley Elementary School,92,92,,Cropwell,,
Lakewood Elementary School,92,97,,Phenix City,38428,
Piedmont Elementary School,92,91,,Piedmont,4810,
Chelsea Park Elementary School,92,89,,Chelsea,15653,
Forest Oaks Elementary School ,92,87,,Chelsea,15653,
Helena Intermediate School,92,87,,Helena,21560,
Verner Elementary School,92,97,,Tuscaloosa,100618,
Northport Elementary School,92,90,,Northport,31009,
Winfield Elementary School,92,95,,Winfield,4829,
Kinston School,91,92,,Kinston,587,
Pleasant Home School,91,86,,Andalusia,8715,
Cullman City Primary School,91,92,,Cullman,18635,
West Elementary School,91,92,,Cullman,18635,
Gulf Shores Elementary School,91,,,Gulf Shores,15736,
Cherokee Elementary School,91,94,,Guntersville,8713,
FE Burleson Elementary School,91,88,,Hartselle,15549,
Berry Middle School,91,95,,Birmingham,197575,
Ira F Simmons Middle School,91,91,,Hoover,92589,
Spain Park High School,91,94,,Birmingham,197575,
Wicksburg High School,91,93,,Newton,1607,
Bryan Elementary School,91,88,,Morris,2254,
Creekside Elementary School,91,91,,Harvest,,
Creekside Primary School,91,91,,Harvest,,
Liberty Middle School,91,94,,Madison,58357,
Hazel Green Elementary School,91,86,,Hazel Green,,
Lynn Fanning Elementary School,91,91,,Meridianville,,
Booker T Washington Magnet High School,91,97,,Montgomery,198665,
Coldwater Elementary School,91,93,,Anniston,21157,
Piedmont Middle School,91,86,,Piedmont,4810,
