School,2022,2019,Change,Town,Population,Is Rural
Eura Brown Elementary School,100,99,,,,
Forest Avenue Elementary School,100,98,,,,
Crestline Elementary School,100,100,,,,
Liberty Park Elementary,100,99,,,,
Heritage Elementary School,99,99,,,,
Loveless Academic Magnet Program High School,99,100,,,,
Brookwood Forest Elementary School,99,100,,,,
Mountain Brook Elementary School,99,99,,,,
Mt Laurel Elementary School,99,99,,,,
East Elementary,99,100,,,,
Dean Road Elementary School,98,98,,,,
Wrights Mill Road Elementary School,98,98,,,,
Kilby Laboratory School,98,,,,,
Edgewood Elementary School,98,96,,,,
Deer Valley Elementary School,98,99,,,,
Greystone Elementary School,98,99,,,,
Mill Creek Elementary School,98,99,,,,
Eichold-Mertz School of Math and Science,98,100,,,,
Cherokee Bend Elementary School,98,100,,,,
Oak Mountain Elementary School,98,94,,,,
Cahaba Elementary School,98,99,,,,
Tuscaloosa Magnet School - Elementary,98,100,,,,
Pizitz Middle School,98,98,,,,
West Elementary,98,99,,,,
Arab Elementary School,97,94,,,,
Arab Primary School,97,94,,,,
Pick Elementary School,97,94,,,,
Barkley Bridge Elementary School,97,98,,,,
Bluff Park Elementary School,97,97,,,,
Brock's Gap Intermediate School,97,97,,,,
Jefferson County International Baccalaureate School,97,100,,,,
Horizon Elementary School,97,97,,,,
Mountain Brook High School,97,98,,,,
Mountain Brook Junior High School,97,98,,,,
Saraland Early Education Center,97,96,,,,
Saraland Elementary School,97,96,,,,
Magnolia Elementary School,97,96,,,,
Paine Elementary School,97,93,,,,
Vestavia Hills Elementary Dolly Ridge,97,,,,,
Cary Woods Elementary School,96,94,,,,
Riverchase Elementary School,96,95,,,,
South Shades Crest Elementary School,96,97,,,,
Monte Sano Elementary School,96,99,,,,
Madison Elementary School,96,96,,,,
Old Shell Road Magnet School,96,100,,,,
Inverness Elementary School,96,88,,,,
Oak Mountain Intermediate School,96,96,,,,
Vestavia Hills High School Freshman Campus,96,,,,,
Meadow View  Elementary School,95,86,,,,
Auburn Early Education Center,95,96,,,,
Creekside Elementary School,95,95,,,,
Ogletree Elementary School,95,97,,,,
Richland Elementary School,95,95,,,,
Fairhope East Elementary,95,92,,,,
Leon Sheffield Magnet Elementary School,95,96,,,,
"Carver School of Mathematics, Science, and Technology",95,99,,,,
Shades Mountain Elementary School,95,92,,,,
Goldsmith-Schiffman Elementary,95,89,,,,
New Century Technology High School,95,98,,,,
Columbia Elementary School,95,98,,,,
Riverton Elementary School,95,98,,,,
W H Council Traditional School,95,100,,,,
Rock Quarry Elementary School,95,100,,,,
Liberty Park Middle School,95,99,,,,
Vestavia Hills Elementary Cahaba Heights,95,96,,,,
Vestavia Hills High School,95,97,,,,
Margaret Yarbrough Elementary School,94,96,,,,
Fairhope West Elementary,94,99,,,,
Rockwell Elementary School,94,96,,,,
Spanish Fort Elementary School,94,96,,,,
East Elementary School,94,92,,,,
Benjamin Davis Elementary School,94,95,,,,
Holly Hill Elementary School,94,94,,,,
Shades Cahaba Elementary School,94,97,,,,
Wicksburg Elementary School,94,,,,,
Hampton Cove Elementary,94,99,,,,
Memorial Park Elementary School,94,91,,,,
Vernon Elementary School,94,89,,,,
MidTown Elementary School,94,98,,,,
Rainbow Elementary School,94,98,,,,
Monrovia Elementary School,94,93,,,,
Mt Carmel Elementary School,94,96,,,,
Barton Academy For Advanced World Studies,94,,,,,
Dauphin Island Elementary School,94,88,,,,
Bear Exploration Center,94,96,,,,
Brewbaker Technology Magnet High School,94,96,,,,
Opp Elementary School,94,91,,,,
Tuscaloosa Magnet School - Middle,94,98,,,,
Ariton School,93,95,,,,
George W Long High School,93,95,,,,
John S Jones Elementary School,93,96,,,,
Hall Kent Elementary School,93,94,,,,
Homewood High School,93,93,,,,
Robert F Bumpus Middle School,93,97,,,,
Rocky Ridge Elementary School,93,92,,,,
Skyline High School,93,95,,,,
Dawes Intermediate School,93,97,,,,
Phillips Preparatory Middle School,93,97,,,,
Lakewood Primary School,93,97,,,,
Fayetteville High School,93,92,,,,
Hewitt-Trussville High School,93,95,,,,
Huntington Place Elementary School,93,90,,,,
Creek View Elementary School,92,90,,,,
Athens Renaissance School,92,80,,,,
Belforest Elementary School,92,,,,,
Daphne East Elementary School,92,96,,,,
Pleasant Valley Elementary School,92,95,,,,
