NAME,POPESTIMATE2021
Abbeville city,2379
Adamsville city,4294
Addison town,668
Akron town,226
Alabaster city,33676
Albertville city,22522
Alexander City city,14618
Aliceville city,2123
Allgood town,545
Altoona town,951
Andalusia city,8715
Anderson town,256
Anniston city,21157
Arab city,8498
Ardmore town,1370
Argo town,4401
Ariton town,655
Arley town,330
Ashford town,2247
Ashland town,1969
Ashville city,2347
Athens city,27027
Atmore city,8542
Attalla city,5839
Auburn city,78564
Autaugaville town,792
Avon town,466
Babbie town,633
Baileyton town,660
Bakerhill town,207
Banks town,155
Bay Minette city,7894
Bayou La Batre city,2182
Bear Creek town,1043
Beatrice town,203
Beaverton town,183
Belk town,188
Benton town,39
Berlin town,498
Berry town,1204
Bessemer city,25615
Billingsley town,126
Birmingham city,197575
Black town,226
Blountsville town,1827
Blue Springs town,81
Boaz city,10161
Boligee town,297
Bon Air town,168
Brantley town,807
Brent city,2977
Brewton city,5261
Bridgeport city,2257
Brighton city,2299
Brilliant town,833
Brookside town,1232
Brookwood town,2473
Brundidge city,2070
Butler town,1870
Calera city,17414
Camden city,1832
Camp Hill town,990
Carbon Hill city,1727
Cardiff town,52
Carolina town,290
Carrollton town,998
Castleberry town,480
Cedar Bluff town,1864
Center Point city,16137
Centre city,3528
Centreville city,2792
Chatom town,1039
Chelsea city,15653
Cherokee town,963
Chickasaw city,6395
Childersburg city,4689
Citronelle city,3924
Clanton city,8762
Clay city,10311
Clayhatchee town,470
Clayton town,2273
Cleveland town,1243
Clio city,1203
Coaling town,2010
Coffee Springs town,208
Coffeeville town,262
Coker town,888
Collinsville town,2029
Colony town,270
Columbia town,690
Columbiana city,4263
Coosada town,1257
Cordova city,1681
Cottonwood town,1046
County Line town,311
Courtland town,584
Cowarts town,1953
Creola city,1936
Crossville town,1810
Cuba town,306
Cullman city,18635
Cusseta town,151
Dadeville city,2998
Daleville city,4862
Daphne city,28777
Dauphin Island town,1814
Daviston town,174
Dayton town,28
Deatsville town,1730
Decatur city,57804
Demopolis city,7009
Detroit town,225
Dodge City town,562
Dora city,2290
Dothan city,71175
Double Springs town,1076
Douglas town,761
Dozier town,287
Dutton town,333
East Brewton city,2266
Eclectic town,1224
Edwardsville town,205
Elba city,3401
Elberta town,2015
Eldridge town,128
Elkmont town,429
Elmore town,1335
Emelle town,33
Enterprise city,29395
Epes town,275
Ethelsville town,50
Eufaula city,12675
Eutaw town,2859
Eva town,589
Evergreen city,3370
Excel town,550
Fairfield city,9832
Fairhope city,23147
Fairview town,548
Falkville town,1147
Faunsdale town,83
Fayette city,4185
Five Points town,118
Flomaton town,1452
Florala town,1906
Florence city,39933
Foley city,22063
Forkland town,444
Fort Deposit town,1194
Fort Payne city,14834
Franklin town,583
Frisco City town,1165
Fruithurst town,239
Fulton town,221
Fultondale city,9789
Fyffe town,963
Gadsden city,33769
Gainesville town,174
Gantt town,198
Garden City town,534
Gardendale city,16444
Gaylesville town,172
Geiger town,156
Geneva city,4185
Georgiana town,1315
Geraldine town,910
Gilbertown town,727
Glen Allen town,426
Glencoe city,5412
Glenwood town,152
Goldville town,53
Good Hope city,2548
Goodwater town,1281
Gordo town,1612
Gordon town,292
Gordonville town,239
Goshen town,270
Grant town,1040
Graysville city,1915
Greensboro city,2195
Greenville city,7263
Grimes town,576
Grove Hill town,1757
Guin city,2172
Gulf Shores city,15736
Guntersville city,8713
Gurley town,825
Gu-Win town,142
Hackleburg town,1430
Haleburg town,115
Haleyville city,4351
Hamilton city,6991
Hammondville town,429
Hanceville city,3215
Harpersville town,1690
Hartford city,2651
Hartselle city,15549
Hayden town,1332
Hayneville town,778
Headland city,5145
Heath town,238
Heflin city,3400
Helena city,21560
Henagar city,2298
Highland Lake town,415
Hillsboro town,409
Hobson City town,768
Hodges town,263
Hokes Bluff city,4435
Holly Pond town,857
Hollywood town,918
Homewood city,26054
Hoover city,92589
Horn Hill town,209
Hueytown city,16531
Huntsville city,216963
Hurtsboro town,345
Hytop town,443
Ider town,739
Indian Springs Village city,2491
Irondale city,13518
Jackson city,4644
Jacksons' Gap town,753
Jacksonville city,13057
Jasper city,14354
Jemison city,2650
Kansas town,179
Kellyton town,129
Kennedy town,427
Killen town,1040
Kimberly city,3946
Kinsey town,2243
Kinston town,587
La Fayette city,2588
Lakeview town,160
Lake View town,3640
Lanett city,6773
Langston town,268
Leeds city,12271
Leesburg town,915
Leighton town,662
Lester town,112
Level Plains town,1821
Lexington town,737
Libertyville town,109
Lincoln city,7082
Linden city,1887
Lineville city,2474
Lipscomb city,2049
Lisman town,421
Littleville town,1040
Livingston city,3153
Loachapoka town,161
Lockhart town,445
Locust Fork town,1198
Louisville town,391
Lowndesboro town,84
Loxley town,4111
Luverne city,2680
Lynn town,617
McIntosh town,201
McKenzie town,503
McMullen town,28
Madison city,58357
Madrid town,265
Magnolia Springs town,819
Malvern town,1543
Maplesville town,641
Margaret town,5427
Marion city,3178
Maytown town,312
Memphis town,25
Mentone town,321
Midfield city,5115
Midland City town,2264
Midway town,420
Millbrook city,17217
Millport town,982
Millry town,443
Mobile city,184952
Monroeville city,5841
Montevallo city,7255
Montgomery city,198665
Moody city,13563
Mooresville town,45
Morris town,2254
Mosses town,814
Moulton city,3358
Moundville town,3072
Mountain Brook city,22158
Mount Vernon town,1362
Mulga town,777
Munford town,1333
Muscle Shoals city,16618
Myrtlewood town,71
Napier Field town,409
Natural Bridge town,33
Nauvoo town,185
Nectar town,379
Needham town,73
Newbern town,131
New Brockton town,1437
New Hope city,2891
New Site town,772
Newton town,1607
